date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:06	15527/15527	---M--	200	added ('OK')	image/jpeg	etag:%227c3f87f85ff56408723041501f553769-ssl%22	https://watson-vcard.netlify.app/img/portfolio/img-11.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/portfolio/img-11.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:06	13702/13702	---MCZ	200	added ('OK')	text/html	etag:%2272e513b407ad44f575026a9dfb4f9e44-ssl-df%22	https://watson-vcard.netlify.app/blog-dark.html	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/blog-dark.html	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:07	37433/37433	---M--	200	added ('OK')	image/jpeg	etag:%22bfa6f2e1ee67f4690a5e6baede61cd19-ssl%22	https://watson-vcard.netlify.app/img/blog/img-1.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-1.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:07	47663/47663	---M--	200	added ('OK')	image/jpeg	etag:%22a2d75175e0a47d48513c0a8066021530-ssl%22	https://watson-vcard.netlify.app/img/blog/img-2.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-2.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:08	38948/38948	---M--	200	added ('OK')	image/jpeg	etag:%22be190ae3d6c76dc9e36005f62eb81aa5-ssl%22	https://watson-vcard.netlify.app/img/blog/img-3.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-3.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:08	55636/55636	---M--	200	added ('OK')	image/jpeg	etag:%223b3fc527b81b55fecafbda97bfd33a55-ssl%22	https://watson-vcard.netlify.app/img/blog/img-4.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-4.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:08	49797/49797	---M--	200	added ('OK')	image/jpeg	etag:%22e940108e400367ec3800b5d3a59506aa-ssl%22	https://watson-vcard.netlify.app/img/blog/img-5.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-5.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:09	45088/45088	---M--	200	added ('OK')	image/jpeg	etag:%22911bb609f53bf69ec5689a1dbdc4b384-ssl%22	https://watson-vcard.netlify.app/img/blog/img-6.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-6.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:09	46709/46709	---M--	200	added ('OK')	image/jpeg	etag:%220c6d438315e3b93dce3790352e3572c7-ssl%22	https://watson-vcard.netlify.app/img/blog/img-7.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-7.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:10	44892/44892	---M--	200	added ('OK')	image/jpeg	etag:%22465ce4dcd7955c5319e95150fcb9203d-ssl%22	https://watson-vcard.netlify.app/img/blog/img-8.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-8.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:10	49671/49671	---M--	200	added ('OK')	image/jpeg	etag:%226c4763dd3ae0b5d6d28a886f6a25444b-ssl%22	https://watson-vcard.netlify.app/img/blog/img-9.jpg	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/img/blog/img-9.jpg	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:11	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:%22307c5c1d4578cf59b5ade868f2f2766c-ssl-df%22	https://watson-vcard.netlify.app/js/jquery.min.js	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/js/jquery.min.js	(from https://watson-vcard.netlify.app/index-dark-video.html)
01:47:11	362358/362358	---MCZ	200	added ('OK')	application/javascript	etag:%22e7e8caa1b22186a9c46b25b113ccb52c-ssl-df%22	https://watson-vcard.netlify.app/js/plugins.min.js	C:/My%20Web%20Sites/Web_CV/watson-vcard.netlify.app/js/plugins.min.js	(from https://watson-vcard.netlify.app/index-dark-video.html)
